Signal Category,Signal Code,Signal Name,Signal Description,Signal Polarity,_BATCH_ID_,_BATCH_LAST_RUN_
Architecture,ARCH-01,CDW Identified,Customer references a cloud data warehouse in play.• “We’re migrating to Snowflake.”• “BigQuery is our source of truth.”• “Databricks will host the lakehouse.”• “Redshift still stores finance data.”• “Considering Azure Synapse next year.”,Enrichment,4,2025-09-12 10:14:27
Architecture,ARCH-02,Source-System Identified,Any specific system of record or database is newly mentioned.• “We need SAP data ingested.”• “Oracle E-Biz holds payroll numbers.”• “Salesforce is the CRM of record.”• “Workday will feed HR metrics.”• “NetSuite connects to our GL.”,Opportunity,4,2025-09-12 10:14:27
Architecture,ARCH-03,External Integration,"Customer asks to connect, or is connecting, to a third-party tool/API.• “Can we pull Zendesk tickets?”• “Slack events should trigger updates.”• “Need Jira issues synced nightly.”• “Push data back to HubSpot.”• “Webhook into ServiceNow incidents.”",Opportunity,4,2025-09-12 10:14:27
Architecture,ARCH-04,Feature Usage Changed,"Customer stops, starts, or switches a Domo feature or module.• “We dropped Stories; now use App Studio.”• “Turning off Alerts for now.”• “Moving ETL jobs to MagicETL v2.”• “Embedding cards instead of shares.”• “Switched from Page Analyzer to Workflows.”",Enrichment,4,2025-09-12 10:14:27
Architecture,ARCH-05,Feature Gap / Request,Desired capability is missing and customer requests enhancement.• “Need row-level writeback.”• “Looking for native OCR.”• “Can we get dark-mode dashboards?”• “No way to schedule JSON exports.”• “Wish we had multivariate alerts.”,Risk,4,2025-09-12 10:14:27
Architecture,ARCH-06,CDW Migration,Plan to move data into or out of a cloud warehouse.• “Shifting ETL from Redshift to Snowflake.”• “Repatriating some tables back on-prem.”• “Lift-and-shift to BigQuery this quarter.”• “Exporting history out of Databricks.”• “Archiving data from Synapse into S3.”,Opportunity,4,2025-09-12 10:14:27
Architecture,ARCH-07,Large Data Initiative Identified,New initiative involving very large data volumes or performance scale.• “Expecting 10 B rows by year-end.”• “IoT feeds will double dataset size.”• “Launching click-stream pipeline next month.”• “Planning petabyte-scale archival.”• “Real-time CDC will spike throughput.”,Opportunity,4,2025-09-12 10:14:27
Architecture,ARCH-08,Architecture Gap Identified,Structural or design weakness in current architecture is identified.• “No lineage tracking right now.”• “Need a dev-test-prod promotion path.”• “Single-tenant setup is limiting us.”• “Lack of CDC causing lag.”• “No caching layer for heavy queries.”,Opportunity,4,2025-09-12 10:14:27
Architecture,ARCH-09,Data Distribution Identified,Requirement to share data externally or across regions is stated.• “Push dashboards to our clients.”• “Need EU data isolated for GDPR.”• “Distribute metrics to 200 retail sites.”• “Publish via Domo Everywhere portal.”• “Replicate datasets to Asia Pacific.”,Opportunity,4,2025-09-12 10:14:27
Architecture,ARCH-10,Sandbox Migration Identified,Movement of objects between sandbox and production environments.• “Promoting cards from dev sandbox today.”• “Need automated sandbox refresh.”• “Moving ETL jobs into prod.”• “Rollback from prod to sandbox after testing.”• “Separate UAT tenant before go-live.”,Enrichment,4,2025-09-12 10:14:27
Business,BIZ-01,Business Goal Identified,A strategic objective for the business is stated.• “Grow revenue 20 %.”• “Hit 95 % on-time delivery.”• “Achieve zero-defect quality.”• “Double online conversion.”• “Meet ESG carbon targets.”,Opportunity,4,2025-09-12 10:14:27
Business,BIZ-02,External Event Identified,A market or corporate event that could impact the plan is referenced.• “Acquiring BetaCorp next month.”• “Preparing for IPO Q4.”• “Layoffs hitting IT this week.”• “New regulation kicks in January.”• “Merging two business units.”,Opportunity,4,2025-09-12 10:14:27
Enablement,EB-01,Education Path Identified,A training or certification plan is discussed.• “Enroll 10 users in Domo U.”• “Need a Power-User bootcamp.”• “Schedule ETL 101 workshop.”• “Create onboarding videos.”• “Send team to virtual certification.”,Opportunity,4,2025-09-12 10:14:27
Relationship,REL-01,Decision-Maker Identified or lost,"A person with final budget or contract authority is named, or reported as leaving/rotating out.• “I’m the one who signs the PO.”• “Budget approval goes through Melissa.”• “Our CFO just retired last Friday.”• “As CIO, I own the purchase decision.”• “We lost our VP Finance last month, so no approver right now.”",Opportunity,4,2025-09-12 10:14:27
Relationship,REL-02,Influencer Identified or lost,A mid-level influencer or subject-matter advocate who shapes opinions is added or departs.• “Talk to Jenna—she drives the dashboards.”• “Data steward Mark is joining the project.”• “Our BI lead just left for another company.”• “Steven is the analytics whisperer around here.”• “We no longer have an internal champion on the ops side.”,Opportunity,4,2025-09-12 10:14:27
Relationship,REL-03,Detractor Identified,"An individual voices negative sentiment that could block adoption.• “Honestly, Domo is too slow.”• “The platform hasn’t met expectations.”• “People hate how clunky the UI feels.”• “I’m skeptical we’ll see any ROI.”• “Leadership thinks it’s overpriced.”",Risk,4,2025-09-12 10:14:27
Relationship,REL-04,Champion Affirmed,A person publicly commits to evangelising or is already driving usage.• “Consider me your internal cheerleader.”• “They call me the Domo guy.”• “I’ll showcase this in our town hall.”• “Sara has owned every dashboard rollout.”• “I’m shepherding this deployment.”,Opportunity,4,2025-09-12 10:14:27
